source,location,lat,long
"Marret et al., 2020",Z523,77.9,105.08
"Marret et al., 2020",GeoB5553-2,28.277,-14.645
"Marret et al., 2020",Z522,78.58,111.38
"Marret et al., 2020",GeoB6005-1,30.88,-10.897
"Marret et al., 2020",Z521,78.76,112.7
"Marret et al., 2020",GeoB6006-2,30.868,-10.63
"Marret et al., 2020",Z520,78.7,112.51
"Marret et al., 2020",GeoB6007-1,30.852,-10.267
"Marret et al., 2020",Z519,78.47,110.79
"Marret et al., 2020",A2169,66.6255,-20.8527
"Marret et al., 2020",X1725,29.0015,-87.119
"Marret et al., 2020",GeoB6008-2,30.845,-10.098
"Marret et al., 2020",Z518,77.17,118.71
"Marret et al., 2020",GeoB6009-1,30.682,-10.275
"Marret et al., 2020",Z517,77.39,118.19
"Marret et al., 2020",GeoB6010-1,30.25,-10.083
"Marret et al., 2020",Z516,77.53,118.46
"Marret et al., 2020",GeoB6011-2,30.315,-10.288
"Marret et al., 2020",Z515,77.67,118.57
"Marret et al., 2020",GeoB7413-2,20.647,-17.845
"Marret et al., 2020",Z514,77.98,118.57
"Marret et al., 2020",GeoB7414-1,20.718,-18
"Marret et al., 2020",Z513,78.67,118.74
"Marret et al., 2020",GeoB7415-1,20.805,-18.262
"Marret et al., 2020",Z512,79.16,119.78
"Marret et al., 2020",GeoB7420-1,24.165,-16.788
"Marret et al., 2020",Z511,79.22,122.91
"Marret et al., 2020",GeoB7423-2,24.338,-17.07
"Marret et al., 2020",Z510,78.06,125
"Marret et al., 2020",GeoB7424-1,24.21,-16.843
"Marret et al., 2020",Z509,77.69,125.89
"Marret et al., 2020",L2023,63.554,-52.22
"Marret et al., 2020",L2047,59.05,-63.65
"Marret et al., 2020",A2170,67.8609,-21.8816
"Marret et al., 2020",X1724,28.6267,-88.2248
"Marret et al., 2020",S-Y1,34.93,127.82
"Marret et al., 2020",Z508,77.08,126.22
"Marret et al., 2020",S-Y2,34.91,127.81
"Marret et al., 2020",Z507,77.13,126.35
"Marret et al., 2020",S-Y3,34.9,127.8
"Marret et al., 2020",Z506,77.18,126.22
"Marret et al., 2020",S-Y4,34.88,127.79
"Marret et al., 2020",Z505,77.48,125.9
"Marret et al., 2020",S-Y5,34.88,127.78
"Marret et al., 2020",Z504,77.41,133.56
"Marret et al., 2020",S-Y6,34.89,127.75
"Marret et al., 2020",Z503,78.07,133.61
"Marret et al., 2020",S-Y7,34.91,127.72
